Function,Type,Operation,ASCII,Support
Operation setting,Write,Quick auto search off,QAS=off,YES
Operation setting,Read,Quick auto search status,QAS=?,YES
Operation setting,Write,Direct Power On-on,directpower=on,YES
Operation setting,Write,Direct Power On-off,directpower=off,YES
Operation setting,Read,Direct Power On-Status,directpower=?,YES
Operation setting,Write,Signal Power On-on,autopower=on,NO
Operation setting,Write,Signal Power On-off,autopower=off,NO
Operation setting,Read,Signal Power On-Status,autopower=?,NO
Operation setting,Write,Standby Settings-Standard,standbynet=standard,YES
Operation setting,Write,Standby Settings-Eco,standbynet=eco,YES
Operation setting,Write,Standby Settings-Network,standbynet=network,YES
Operation setting,Write,Standby Settings-Network on,standbynet=on,NO
Operation setting,Write,Standby Settings-Network off,standbynet=off,NO
Operation setting,Read,Standby Settings-Network Status,standbynet=?,YES
Operation setting,Write,Standby Settings-Microphone on,standbymic=on,NO
Operation setting,Write,Standby Settings-Microphone off,standbymic=off,NO
Operation setting,Read,Standby Settings-Microphone Status,standbymic=?,NO
Operation setting,Write,Standby Settings-Monitor Out on,standbymnt=on,NO
Operation setting,Write,Standby Settings-Monitor Out off,standbymnt=off,NO
Operation setting,Read,Standby Settings-Monitor Out Status,standbymnt=?,NO
Baud rate,Write,2400,baud=2400,NO
Baud rate,Write,4800,baud=4800,NO
Baud rate,Write,9600,baud=9600,YES
Baud rate,Write,14400,baud=14400,YES
Baud rate,Write,19200,baud=19200,YES
Baud rate,Write,38400,baud=38400,YES
Baud rate,Write,57600,baud=57600,YES
Baud rate,Write,115200,baud=115200,YES
Baud rate,Read,Current Baud Rate,baud=?,YES
Lamp control,Read,Lamp Hour,ltim=?,YES
Lamp control,Read,Lamp2 Hour,ltim2=?,YES
Lamp control,Write,Lamp hour reset,ltim=reset,YES
Lamp control,Write,Lamp2 hour reset,ltim2=reset,YES
Lamp control,Write,Normal mode,lampm=lnor,YES
Lamp control,Write,Eco mode,lampm=eco,YES
Lamp control,Write,Dual lamp,lammd=dual,YES
Lamp control,Lamp Control,number 1 lamp,lammd=num1l,YES
Lamp control,Write,number 2 lamp,lammd=num2,YES
Lamp control,Write,Single lamp (minimum),lammd=single,YES
Lamp control,Write,Current Lamp status,lammd=?,YES
Lamp control,Read,Smart Eco mode,lampm=seco,NO
Lamp control,Write,Smart Eco mode(LampCare),lampm=seco2,NO
Lamp control,Write,Smart Eco mode(IumenCare),lampm=seco3,NO
Lamp control,Write,Dual Brightest, lampm =dualbr,NO
Lamp control,Write,Dual Reliable, lampm =dualre,NO
Lamp control,Write,Single Alternative, lampm =single,NO
Lamp control,Write,Single Alternative Eco, lampm =singleeco,NO
Lamp control,Read,Lamp Mode Status,lampm=?,YES
Miscellaneous,Read,Model Name,modelname=?,YES
Miscellaneous,Write,Blank On,blank=on,YES
Miscellaneous,Write,Blank Off,blank=off,YES
Miscellaneous,Read,Blank Status,blank=?,YES
Miscellaneous,Write,Freeze On,freeze=on,YES
Miscellaneous,Write,Freeze Off,freeze=off,YES
Miscellaneous,Read,Freeze Status,freeze=?,YES
Miscellaneous,Write,Menu On,menu=on,YES
Miscellaneous,Write,Menu Off,menu=off,YES
Miscellaneous,Read,Menu Status,menu=?,YES
Miscellaneous,Write,Up,up,YES
Miscellaneous,Write,Down,down,YES
